country,altmetric
Afghanistan,250
Albania,21
Algeria,73
Andorra,2
Angola,2
Anguilla,1
Antigua and Barbuda,28
Argentina,2769
Armenia,63
Aruba,2
Australia,31400
Austria,7655
Azerbaijan,26
Bahamas,38
Bahrain,461
Bangladesh,759
Barbados,37
Belarus,19
Belgium,9401
Benin,156
Bermuda,29
Bhutan,1
Bolivia,2
Bosnia and Herzegovina,31
Botswana,22
Brazil,5480
Brunei,117
Bulgaria,129
Burkina Faso,4049
Burundi,1
Cambodia,189
Cameroon,999
Canada,30875
Central African Republic,57
Chile,2478
China,28359
Colombia,14414
Costa Rica,592
Croatia,964
Cuba,299
Curacao,2
Cyprus,1397
Czechia,2234
Democratic Republic of the Congo,15
Denmark,17880
Djibouti,1
Dominican Republic,4
Ecuador,1084
Egypt,2446
El Salvador,25
Eritrea,2
Estonia,388
Eswatini,1
Ethiopia,1375
Faroe Islands,1
Fiji,133
Finland,3040
France,13848
French Polynesia,1
Gabon,3
Gambia,88
Georgia,56
Germany,22147
Ghana,486
Greece,4894
Grenada,3
Guatemala,65
Guinea-Bissau,56
Guyana,2
Haiti,197
Honduras,4
Hungary,3395
Iceland,105
India,8048
Indonesia,1361
Iran,709
Iraq,355
Ireland,10198
Israel,58601
Italy,11154
Ivory Coast,67
Jamaica,6
Japan,8680
Jordan,759
Kazakhstan,306
Kenya,3258
Kosovo,1
Kuwait,126
Kyrgyzstan,79
Laos,1219
Latvia,98
Lebanon,402
Lesotho,3
Liberia,1
Libya,7
Liechtenstein,121
Lithuania,260
Luxembourg,187
Madagascar,271
Malawi,250
Malaysia,3362
Maldives,72
Mali,162
Malta,174
Martinique,537
Mauritius,1
Mayotte,2
Mexico,6532
Moldova,2
Monaco,28
Mongolia,4
Montenegro,22
Morocco,519
Mozambique,1212
Myanmar,419
Namibia,5
Nepal,466
Netherlands,15818
New Caledonia,19
New Zealand,5066
Niger,2
Nigeria,1116
Norfolk Island,3151
North Macedonia,85
Norway,11774
Oman,238
Pakistan,5898
Palestinian Territory,147
Panama,1014
Papua New Guinea,191
Paraguay,155
Peru,2299
Philippines,304
Poland,5653
Portugal,1900
Qatar,2671
Republic of the Congo,52
Reunion,54
Romania,800
Russia,2333
Rwanda,429
Saint Barthelemy,2
Saint Kitts and Nevis,3
Saint Vincent and the Grenadines,31
Samoa,2
San Marino,44
Saudi Arabia,3378
Senegal,7
Serbia,288
Sierra Leone,31
Singapore,7060
Slovakia,483
Slovenia,1049
Somalia,3
South Africa,18805
South Korea,2310
South Sudan,1
Spain,24861
Sri Lanka,256
Sudan,53
Suriname,1
Sweden,17172
Switzerland,27150
Syria,24
Taiwan,9469
Tanzania,152
Thailand,5472
Timor Leste,2
Trinidad and Tobago,110
Tunisia,259
Turkey,1736
Uganda,317
Ukraine,342
United Arab Emirates,2418
United Kingdom,74718
United States,134189
Uruguay,940
Vatican,23
Venezuela,62
Vietnam,337
Yemen,3
Zambia,88
Zimbabwe,238
