Organization,Country,Publications,Citations,Altmetric
Harvard University,United States,93,2475,7251
King Saud University,Saudi Arabia,85,961,972
University of Oxford,United Kingdom,83,1073,8675
University of Toronto,Canada,73,1472,3621
National University of Singapore,Singapore,68,639,913
Karolinska Institutet,Sweden,65,1037,1765
King Abdulaziz University,Saudi Arabia,65,754,446
Nanyang Technological University,Singapore,65,653,1123
Tel Aviv University,Israel,61,766,6956
University College London,United Kingdom,60,818,3134
National Autonomous University of Mexico,Mexico,58,273,2652
Ministry of Health,Varies,57,192,759
University of Lisbon,Portugal,56,368,305
University of Cambridge,United Kingdom,55,533,3492
University of Copenhagen,Denmark,53,618,5357
Mahidol University,Thailand,52,563,3391
Cairo University,Egypt,51,325,391
University of Johannesburg,South Africa,51,358,104
University of the Witwatersrand,South Africa,51,372,7752
Ghent University,Belgium,50,522,384
University of Malaya,Malaysia,49,247,367
Lund University,Sweden,48,611,1777
National and Kapodistrian University of Athens,Greece,48,441,336
University of Cape Town,South Africa,48,226,5984
University of Porto,Portugal,48,175,140
University of Zurich,Switzerland,48,403,1550
Medical University of Vienna,Austria,47,464,2106
National University of Malaysia,Malaysia,47,341,245
University of British Columbia,Canada,47,481,3513
Aarhus University,Denmark,46,525,2128
Universiti Teknologi MARA,Malaysia,46,29,7
Stanford University,United States,45,804,1573
University of Auckland,New Zealand,45,519,1373
Johns Hopkins University,United States,44,375,2505
Aristotle University of Thessaloniki,Greece,43,234,318
Universiti Sains Malaysia,Malaysia,43,502,63
University of Coimbra,Portugal,43,327,221
KU Leuven,Belgium,42,240,958
UNSW Sydney,Australia,41,507,1036
Uppsala University,Sweden,41,203,1088
University College Dublin,Ireland,40,204,531
University of Oslo,Norway,39,215,548
Imperial College London,United Kingdom,38,747,4324
Linköping University,Sweden,38,211,1243
The University of Sydney,Australia,38,636,1951
Hebrew University of Jerusalem,Israel,37,878,9322
University of Otago,New Zealand,37,206,832
University of Zagreb,Croatia,37,465,1259
Chulalongkorn University,Thailand,36,260,378
London School of Hygiene & Tropical Medicine,United Kingdom,36,689,2995
Makerere University,Uganda,36,182,206
University of Southern Denmark,Denmark,36,373,940
King's College London,United Kingdom,35,1325,3421
University of Belgrade,Serbia,35,716,490
University of Sharjah,United Arab Emirates,35,166,16
